117|สำนักศาลยุติธรรมประจำภาค 4 (ขอนแก่น)
118|ศาลแขวงเชียงใหม่
119|ศาลแขวงลำปาง
120|ศาลแขวงเวียงป่าเป้า
121|ศาลจังหวัดเชียงราย
122|ศาลจังหวัดเทิง
123|ศาลจังหวัดเชียงใหม่
124|ศาลจังหวัดฮอด
125|ศาลจังหวัดฝาง
126|ศาลจังหวัดน่าน
127|ศาลจังหวัดพะเยา
128|ศาลจังหวัดเชียงคำ
129|ศาลจังหวัดแพร่
130|ศาลจังหวัดแม่ฮ่องสอน
131|ศาลจังหวัดแม่สะเรียง
132|ศาลจังหวัดลำปาง
133|ศาลจังหวัดลำพูน
134|ศาลเยาวชนและครอบครัวจังหวัดเชียงราย
135|ศาลเยาวชนและครอบครัวจังหวัดเชียงใหม่
136|ศาลเยาวชนและครอบครัวจังหวัดน่าน
137|ศาลเยาวชนและครอบครัวจังหวัดพะเยา
138|ศาลเยาวชนและครอบครัวจังหวัดแพร่
139|ศาลเยาวชนและครอบครัวจังหวัดแม่ฮ่องสอน
140|ศาลเยาวชนและครอบครัวจังหวัดลำปาง
141|ศาลเยาวชนและครอบครัวจังหวัดลำพูน
142|สำนักศาลยุติธรรมประจำภาค 5 (เชียงใหม่)
143|ศาลแขวงนครสวรรค์
144|ศาลแขวงพิษณุโลก
145|ศาลแขวงนครไทย
146|ศาลจังหวัดกำแพงเพชร
147|ศาลจังหวัดตาก
148|ศาลจังหวัดแม่สอด
149|ศาลจังหวัดนครสวรรค์
150|ศาลจังหวัดพิจิตร
151|ศาลจังหวัดพิษณุโลก
152|ศาลจังหวัดเพชรบูรณ์
153|ศาลจังหวัดวิเชียรบุรี
154|ศาลจังหวัดหล่มสัก
155|ศาลจังหวัดสุโขทัย
156|ศาลจังหวัดสวรรคโลก
157|ศาลจังหวัดอุตรดิตถ์
158|ศาลจังหวัดอุทัยธานี
159|ศาลเยาวชนและครอบครัวจังหวัดกำแพงเพชร
160|ศาลเยาวชนและครอบครัวจังหวัดตาก
161|ศาลเยาวชนและครอบครัวจังหวัดนครสวรรค์
162|ศาลเยาวชนและครอบครัวจังหวัดพิจิตร
163|ศาลเยาวชนและครอบครัวจังหวัดพิษณุโลก
164|ศาลเยาวชนและครอบครัวจังหวัดเพชรบูรณ์
165|ศาลเยาวชนและครอบครัวจังหวัดสุโขทัย
166|ศาลเยาวชนและครอบครัวจังหวัดอุตรดิตถ์
167|ศาลเยาวชนและครอบครัวจังหวัดอุทัยธานี
